"Standardized_names","provinces","n.provinces","population.total","area.total","density"
"Intsia bijuga","YN",1,4671,39,119.76923076923077
"Intsia palembanica","FJ, YN",2,8643.5,51,169.48039215686273
"Iochroma australe","SH",1,2422,0.634,3820.1892744479496
"Iochroma cyaneum","BJ, TW",2,4445.5,5.3,838.7735849056604
"Iochroma fuchsioides","BJ",1,2106.5,1.7,1239.1176470588236
"Iochroma grandiflorum","BJ",1,2106.5,1.7,1239.1176470588236
"Ionopsis utricularioides","FJ, GD, SH, TW",4,20485,34.2369,598.331040485558
"Ipheion uniflorum","FJ, TW",2,6311.5,15.6,404.5833333333333
"Ipomoea alba","BJ, FJ, GD, GX, TW, YN, ZJ",7,35696.5,108.3029,329.5987457399571
"Ipomoea batatas","AH, BJ, CQ, FJ, GD, GX, GZ, HA, HB, HE, HI, HL, HN, JL, JS, JX, LN, SC, SD, SH, SN, SX, TW, YN, ZJ",25,129913.5,437.5369,296.9200997675853
"Ipomoea bolusiana","TW",1,2339,3.6,649.7222222222222
"Ipomoea cairica","FJ, GD, GX, HI, JS, JX, TW, YN",8,41268.5,127.0029,324.9413989759289
"Ipomoea cheirophylla","GD, YN",2,16422.5,57.0029,288.0993774000972
"Ipomoea cholulensis","BJ, FJ, GZ, JS, SN, ZJ",6,27902,72.7,383.7964236588721
"Ipomoea hederifolia","FJ, YN",2,8643.5,51,169.48039215686273
"Ipomoea horsfalliae","FJ, HB, SH, TW, YN",5,19157,74.234,258.06234340059814
"Ipomoea lacunosa","JS, ZJ",2,14269,20,713.45
"Ipomoea lobata","FJ, TW",2,6311.5,15.6,404.5833333333333
"Ipomoea mauritiana","GD, GX, JS, JX, TW, YN",6,36345,111.6029,325.6635804266735
"Ipomoea nil","BJ, FJ, GD, GX, GZ, HB, JS, JX, SC, SN, TW, XJ, YN, ZJ",14,72374.5,408.3029,177.25688453351665
"Ipomoea platensis","BJ",1,2106.5,1.7,1239.1176470588236
"Ipomoea purpurea","BJ, FJ, GD, GX, GZ, HB, HI, HL, JS, JX, SC, SN, TW, XJ, YN, ZJ",16,76802,457.7029,167.79880573184045
"Ipomoea quamoclit","BJ, FJ, GD, GX, GZ, HB, HI, HL, JS, JX, SC, SN, TW, XJ, YN, ZJ",16,76802,457.7029,167.79880573184045
"Ipomoea triloba","FJ, GD, GX, JS, JX, ZJ",6,39326.5,91.0029,432.14556898736197
"Ipomoea violacea","TW",1,2339,3.6,649.7222222222222
"Ipomoea welwitschii","TW",1,2339,3.6,649.7222222222222
"Ipomoea × sloteri","BJ, FJ, GZ, XJ, YN, ZJ",6,22870.5,246.7,92.70571544385895
"Ipomopsis aggregata","ZJ",1,6019,10,601.9
"Iresine herbstii","BJ, FJ, GD, GX, HB, HI, JX, SC, SN, TW, YN, ZJ",12,58974,217.7029,270.892119489451
"Iresine lindenii","YN",1,4671,39,119.76923076923077
"Iriartea deltoidea","FJ, GD, TW, YN",4,22734,72.6029,313.1279880004793
"Iris acutiloba","JS, ZJ",2,14269,20,713.45
"Iris aphylla","JS",1,8250,10,825
"Iris bismarckiana","JS",1,8250,10,825
"Iris brevicaulis","ZJ",1,6019,10,601.9
"Iris bucharica","JS, TW",2,10589,13.6,778.6029411764706
"Iris caucasica","JS",1,8250,10,825
"Iris crocea","BJ, TW",2,4445.5,5.3,838.7735849056604
"Iris darwasica","BJ",1,2106.5,1.7,1239.1176470588236
"Iris douglasiana","TW, YN",2,7010,42.6,164.55399061032864
"Iris foetidissima","BJ, HB, JS, TW, YN, ZJ",6,29138,83.3,349.79591836734693
"Iris hexagona","TW",1,2339,3.6,649.7222222222222
"Iris hookeri","JS",1,8250,10,825
"Iris iberica","JS",1,8250,10,825
"Iris innominata","YN, ZJ",2,10690,49,218.16326530612244
"Iris juncea","YN",1,4671,39,119.76923076923077
"Iris latifolia","JS",1,8250,10,825
"Iris longipetala","JS",1,8250,10,825
"Iris longiscapa","JS",1,8250,10,825
"Iris lortetii","BJ",1,2106.5,1.7,1239.1176470588236
"Iris lutescens","GD, TW",2,14090.5,21.6029,652.25039230844
"Iris lutescens subsp. subbiflora","JS",1,8250,10,825
"Iris orientalis","BJ, JS, ZJ",3,16375.5,21.7,754.63133640553
"Iris pallida","JS",1,8250,10,825
"Iris persica","YN",1,4671,39,119.76923076923077
"Iris prismatica","JS",1,8250,10,825
"Iris pseudacorus","AH, BJ, FJ, GD, GX, GZ, HB, HL, JS, JX, LN, SC, SH, YN, ZJ",15,80022,293.3369,272.79895573997
"Iris pseudopumila","YN",1,4671,39,119.76923076923077
"Iris pumila","JS, ZJ",2,14269,20,713.45
"Iris purdyi","TW",1,2339,3.6,649.7222222222222
"Iris reticulata","BJ",1,2106.5,1.7,1239.1176470588236
"Iris sintenisii","JS, TW",2,10589,13.6,778.6029411764706
"Iris spuria","BJ, HL, SH, TW, YN, ZJ",6,21034,100.934,208.3936037410585
"Iris spuria subsp. carthaliniae","YN",1,4671,39,119.76923076923077
"Iris spuria subsp. demetrii","ZJ",1,6019,10,601.9
"Iris spuria subsp. musulmanica","JS",1,8250,10,825
"Iris tuberosa","YN",1,4671,39,119.76923076923077
"Iris variegata","BJ, TW, YN",3,9116.5,44.3,205.79006772009032
"Iris virginica","GD, JS, SH",3,22423.5,28.6369,783.0281909005514
"Iris xiphium","FJ, JS, XJ, ZJ",4,20649,198,104.28787878787878
"Iris × germanica","BJ, FJ, GD, GS, GX, GZ, HB, JS, JX, LN, SC, SN, TW, XJ, YN, ZJ",16,79218,466.3029,169.88528272073796
"Iris × norrisii","TW",1,2339,3.6,649.7222222222222
"Isabelia pulchella","BJ, TW",2,4445.5,5.3,838.7735849056604
"Isabelia virginalis","BJ, TW",2,4445.5,5.3,838.7735849056604
"Ischnosiphon rotundifolius","BJ, FJ, GD, HB, ZJ",5,29602,60.7029,487.6538023718801
"Ismelia carinata","BJ, FJ, GD, JS, JX, SD, TW, YN",8,47502,117.3029,404.95162523688674
"Ismene narcissiflora","YN",1,4671,39,119.76923076923077
"Ismene × deflexa","TW, YN",2,7010,42.6,164.55399061032864
"Isoetes japonica","FJ, HB, YN",3,14396,70,205.65714285714284
"Isolatocereus dumortieri","FJ, GD, JX, SH, TW",5,24981.5,51.2369,487.5685297119849
"Isolepis cernua","FJ, SN, TW, YN",4,14842.5,75.6,196.3293650793651
"Isolepis diabolica","YN",1,4671,39,119.76923076923077
"Isoplexis canariensis","JS, TW",2,10589,13.6,778.6029411764706
"Isopogon anethifolius","ZJ",1,6019,10,601.9
"Isotoma axillaris","BJ, GD, TW, YN",4,20868,62.3029,334.9442802822982
"Iva xanthiifolia","HL, JL, LN, SD",4,20270.5,96,211.15104166666666
"Ixia maculata","JS",1,8250,10,825
"Ixia viridiflora","TW",1,2339,3.6,649.7222222222222
"Ixora casei","FJ, GD, HI, YN",4,21346,72.4029,294.8224449573152
"Ixora coccinea","BJ, FJ, GD, GX, HI, JX, TW, YN, ZJ",9,41144,128.7029,319.68199628757395
"Ixora dorgelonis","YN",1,4671,39,119.76923076923077
"Ixora javanica","GD",1,11751.5,18.0029,652.7559448755478
"Ixora lanceolata","YN",1,4671,39,119.76923076923077
"Ixora × westii","GD, JX, YN",3,20919,74.0029,282.67811126320726
"Ixyophora aurantiaca","TW",1,2339,3.6,649.7222222222222
"Ixyophora viridisepala","TW",1,2339,3.6,649.7222222222222
"Jacaranda acutifolia","FJ, GD, JX, TW, YN, ZJ",6,33249.5,99.6029,333.8206016089893
"Jacaranda cuspidifolia","FJ",1,3972.5,12,331.0416666666667
"Jacaranda mimosifolia","BJ, FJ, GD, GX, HB, HI, JS, SC, SH, TW, YN, ZJ",12,61289.5,190.33690000000001,322.0053494619277
"Jacaranda puberula","GD",1,11751.5,18.0029,652.7559448755478
"Jacaratia corumbensis","FJ",1,3972.5,12,331.0416666666667
"Jacaratia mexicana","FJ, YN",2,8643.5,51,169.48039215686273
"Jacobaea adonidifolia","JS",1,8250,10,825
"Jacobaea aquatica","YN",1,4671,39,119.76923076923077
"Jacobaea maritima","BJ, FJ, GD, HI, HL, SC, TW, YN",8,37485.5,172.7029,217.05194296100413
"Jacobaea maritima subsp. bicolor","GD, GX",2,16588.5,42.0029,394.9370162536397
"Jacobaea subalpina","FJ",1,3972.5,12,331.0416666666667
"Jacquemontia tamnifolia","GD, JS",2,20001.5,28.0029,714.2653082359327
"Jacquiniella leucomelana","BJ",1,2106.5,1.7,1239.1176470588236
"Jamesia americana","YN",1,4671,39,119.76923076923077
"Jamesonia canescens","YN",1,4671,39,119.76923076923077
"Jasione montana","JS",1,8250,10,825
"Jasminum azoricum","GD, SH",2,14173.5,18.6369,760.5073805192924
"Jasminum fruticans","JS, ZJ",2,14269,20,713.45
"Jasminum multiflorum","FJ, GD, JX, TW, YN",5,27230.5,89.6029,303.90199424348987
"Jasminum odoratissimum","GD",1,11751.5,18.0029,652.7559448755478
"Jasminum sambac","AH, BJ, CQ, FJ, GD, GX, GZ, HB, HI, JS, JX, SC, SN, TW, YN, ZJ",16,80033,267.9029,298.73883410743224
"Jasminum tortuosum","YN",1,4671,39,119.76923076923077
"Jatropha cathartica","BJ, FJ, GD, SH, TW",5,22591.5,35.9369,628.6435390921309
"Jatropha curcas","FJ, GD, GX, GZ, HB, HI, JS, JX, SC, SH, TW, YN, ZJ",13,67373.5,223.6369,301.2628953450884
"Jatropha gossypiifolia","BJ, FJ, GD, JX, SH, YN",6,29420,88.3369,333.0431563706673
"Jatropha gossypiifolia var. elegans","GX",1,4837,24,201.54166666666666
"Jatropha integerrima","BJ, FJ, GD, JX, SH, TW, YN",7,31759,91.9369,345.4434508885986
"Jatropha multifida","FJ, GD, TW, YN",4,22734,72.6029,313.1279880004793
"Jatropha podagrica","BJ, FJ, GD, GX, HB, HI, JX, SH, TW, YN, ZJ",11,49318.5,148.33690000000001,332.4762752895604
"Jensenobotrya lossowiana","SH",1,2422,0.634,3820.1892744479496
"Joannesia princeps","GD, HI",2,12702.5,21.4029,593.4943395521168
"Johannesteijsmannia altifrons","BJ, FJ, GD, JX, SH, YN",6,29420,88.3369,333.0431563706673
"Johannesteijsmannia magnifica","FJ, TW, YN",3,10982.5,54.6,201.14468864468864
"Juanulloa mexicana","GD, TW, YN",3,18761.5,60.6029,309.58089464365565
"Jubaea chilensis","BJ, FJ, GD, JX, TW, YN",6,29337,91.3029,321.3150951393658
"Jubaeopsis caffra","FJ, TW",2,6311.5,15.6,404.5833333333333
"Juglans ailanthifolia","BJ, JS, JX, LN, TW, ZJ",6,27528,57.3,480.4188481675393
"Juglans californica","LN",1,4317,15,287.8
"Juglans cinerea","BJ, JS, TW, ZJ",4,18714.5,25.3,739.703557312253
"Juglans major","BJ, ZJ",2,8125.5,11.7,694.4871794871796
"Juglans microcarpa","BJ, JS",2,10356.5,11.7,885.1709401709402
"Juglans nigra","BJ, JS, LN, SH, SX, TW, XJ, ZJ",8,31387,222.934,140.79054787515588
"Jumellea arachnantha","BJ, TW",2,4445.5,5.3,838.7735849056604
"Jumellea comorensis","FJ, TW",2,6311.5,15.6,404.5833333333333
"Jumellea confusa","BJ, GD",2,13858,19.7029,703.3482380766284
"Jumellea densifoliata","BJ",1,2106.5,1.7,1239.1176470588236
"Juncus patens","BJ, TW",2,4445.5,5.3,838.7735849056604
"Juniperus ashei","BJ",1,2106.5,1.7,1239.1176470588236
"Juniperus communis","BJ, GX, HL, JS, JX, SC, SH, SN, TW, XJ, ZJ",11,48431.5,348.934,138.79845472209644
"Juniperus deppeana","TW",1,2339,3.6,649.7222222222222
"Juniperus excelsa","JX",1,4496.5,17,264.5
"Juniperus foetidissima","BJ",1,2106.5,1.7,1239.1176470588236
"Juniperus horizontalis","BJ, GD, HE, NX, SH, TJ",6,25676.5,47.1369,544.7218633384886
"Juniperus monosperma","BJ, JX",2,6603,18.7,353.1016042780749
"Juniperus occidentalis","TW",1,2339,3.6,649.7222222222222
"Juniperus oxycedrus","BJ, JS, ZJ",3,16375.5,21.7,754.63133640553
"Juniperus phoenicea","GD, JX, TW",3,18587,38.6029,481.4923231156209
"Juniperus pinchotii","BJ, YN",2,6777.5,40.7,166.52334152334151
"Juniperus procumbens","BJ, CQ, FJ, GD, GX, HB, HL, JS, JX, LN, SC, SH, TW, XJ, YN, ZJ",16,78112.5,439.1369,177.87733164760238
"Juniperus rigida var. conferta","SH, SN",2,6282,21.634,290.3762595913839
"Juniperus scopulorum","BJ, FJ, HB, JX, NM, QH, SH, TW",8,24106,243.934,98.821812457468
"Juniperus virginiana","BJ, FJ, GD, GX, JS, JX, LN, NM, SC, SD, SH, TW, YN, ZJ",14,75751,333.9369,226.8422567257467
"Juniperus virginiana var. silicicola","BJ",1,2106.5,1.7,1239.1176470588236
"Juniperus × pfitzeriana","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Justicia adhatoda","BJ, FJ, GD, GX, HB, JS, JX, SC, SH, SN, TW, YN, ZJ",13,68695,224.9369,305.39675793522537
"Justicia aequilabris","FJ, TW, YN",3,10982.5,54.6,201.14468864468864
"Justicia betonica","BJ, FJ, GD, JX",4,22327,48.7029,458.4326600674703
"Justicia brandegeeana","BJ, FJ, GD, GX, GZ, HB, JS, JX, SC, SN, TW, YN, ZJ",13,69967,242.3029,288.7584094123512
"Justicia brasiliana","BJ, TW, YN",3,9116.5,44.3,205.79006772009032
"Justicia carnea","BJ, FJ, GD, GX, GZ, HB, HI, JS, JX, SC, TW, YN, ZJ",13,67058,224.7029,298.42961528311383
"Justicia floribunda","BJ",1,2106.5,1.7,1239.1176470588236
"Justicia gendarussa","BJ, FJ, GD, GX, GZ, HB, HI, JX, SC, TW, YN, ZJ",12,58808,214.7029,273.904078612818
"Justicia glauca","GD",1,11751.5,18.0029,652.7559448755478
"Justicia gonzalezii","TW",1,2339,3.6,649.7222222222222
"Justicia pohliana","TW",1,2339,3.6,649.7222222222222
"Justicia spicigera","TW",1,2339,3.6,649.7222222222222
"Kaempferia angustifolia","GD",1,11751.5,18.0029,652.7559448755478
"Kaempferia filifolia","GD",1,11751.5,18.0029,652.7559448755478
"Kaempferia gilbertii","FJ, GD, TW",3,18063,33.6029,537.5428906433672
"Kaempferia larsenii","GD",1,11751.5,18.0029,652.7559448755478
"Kalanchoe aubrevillei","BJ",1,2106.5,1.7,1239.1176470588236
"Kalanchoe beharensis","BJ, FJ, GD, JX, SH, TW",6,27088,52.9369,511.7035564983971
"Kalanchoe blossfeldiana","FJ, GD, GX, JS, JX, YN, ZJ",7,43997.5,130.0029,338.4347579938601
"Kalanchoe brachyloba","GD, JX",2,16248,35.0029,464.1901099623175
"Kalanchoe bracteata","SH",1,2422,0.634,3820.1892744479496
"Kalanchoe crenata","FJ, GD, JX",3,20220.5,47.0029,430.19686019373273
"Kalanchoe eriophylla","FJ, GD",2,15724,30.0029,524.0826720083725
"Kalanchoe farinacea","GD, SH",2,14173.5,18.6369,760.5073805192924
"Kalanchoe figureidoi","BJ",1,2106.5,1.7,1239.1176470588236
"Kalanchoe flammea","FJ, GX, ZJ",3,14828.5,46,322.35869565217394
"Kalanchoe globulifera","JS",1,8250,10,825
"Kalanchoe grandiflora","BJ",1,2106.5,1.7,1239.1176470588236
"Kalanchoe hildebrandtii","BJ",1,2106.5,1.7,1239.1176470588236
"Kalanchoe humilis","FJ, HB",2,9725,31,313.7096774193548
"Kalanchoe laciniata","BJ, FJ, GD, GX, JS, JX, SC, YN",8,48302.5,170.7029,282.96238669641815
"Kalanchoe lanceolata","FJ",1,3972.5,12,331.0416666666667
"Kalanchoe laxiflora","GX, JS, ZJ",3,19106,44,434.22727272727275
"Kalanchoe longiflora","BJ, FJ, HB, SH",4,14253.5,33.334,427.59644807103854
"Kalanchoe marmorata","FJ, GD, HB, SH",4,23898.5,49.6369,481.46640906261274
"Kalanchoe millotii","BJ",1,2106.5,1.7,1239.1176470588236
"Kalanchoe mortagei","BJ, YN",2,6777.5,40.7,166.52334152334151
"Kalanchoe orgyalis","BJ, FJ, GD, JX, SH",5,24749,49.3369,501.6326522339263
"Kalanchoe peteri","YN",1,4671,39,119.76923076923077
"Kalanchoe pumila","BJ, FJ, SH",3,8501,14.334,593.0654388167992
"Kalanchoe rhombopilosa","BJ, FJ, GD, HB, SH, ZJ",6,32024,61.3369,522.1000735283328
"Kalanchoe rotundifolia","BJ, JS",2,10356.5,11.7,885.1709401709402
"Kalanchoe scapigera","BJ, FJ, GD, JX",4,22327,48.7029,458.4326600674703
"Kalanchoe synsepala","BJ, FJ, GD, GX, HB, HI, JS, JX, SC, SH, TW",11,55096,158.33690000000001,347.96689842986694
"Kalanchoe tetraphylla","BJ, FJ, GD, HB, JS, JX, SH, TW, YN",9,45761.5,120.9369,378.3915413740554
"Kalanchoe tomentosa","BJ, FJ, GD, GX, HB, JS, JX, SC, SH, TW, YN, ZJ",12,64835,203.9369,317.9169635313668
"Kalanchoe tubiflora","FJ",1,3972.5,12,331.0416666666667
"Kalanchoe velutina","GD, JS",2,20001.5,28.0029,714.2653082359327
"Kalanchoe zimbabwensis","YN",1,4671,39,119.76923076923077
"Kalmia angustifolia","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Kalmia latifolia","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Kedrostis africana","SH, TW",2,4761,4.234,1124.4685876239962
"Kedrostis hirtella","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Kefersteinia auriculata","BJ",1,2106.5,1.7,1239.1176470588236
"Kefersteinia bengasahra","BJ",1,2106.5,1.7,1239.1176470588236
"Kemulariella caucasica","JS",1,8250,10,825
"Kennedia coccinea","SH",1,2422,0.634,3820.1892744479496
"Kennedia prostrata","GD",1,11751.5,18.0029,652.7559448755478
"Kennedia rubicunda","FJ, TW",2,6311.5,15.6,404.5833333333333
"Kentiopsis oliviformis","FJ, GD, YN",3,20395,69.0029,295.5672877516742
"Kerriodoxa elegans","FJ, GD, TW, YN",4,22734,72.6029,313.1279880004793
"Khadia borealis","SH",1,2422,0.634,3820.1892744479496
"Khaya grandifoliola","GD",1,11751.5,18.0029,652.7559448755478
"Khaya ivorensis","YN",1,4671,39,119.76923076923077
"Khaya nyasica","TW",1,2339,3.6,649.7222222222222
"Khaya senegalensis","FJ, GD, GX, JX, YN",5,29728.5,110.0029,270.2519660845305
"Kigelia africana","BJ, FJ, GD, HI, JX, SH, TW, YN",8,32710,95.3369,343.09905188861813
"Kiggelaria africana","YN",1,4671,39,119.76923076923077
"Kitaibelia vitifolia","JS, YN",2,12921,49,263.6938775510204
"Kleinia abyssinica","BJ",1,2106.5,1.7,1239.1176470588236
"Kleinia amaniensis","SH",1,2422,0.634,3820.1892744479496
"Kleinia ampliflora","GD",1,11751.5,18.0029,652.7559448755478
"Kleinia anteuphorbium","FJ",1,3972.5,12,331.0416666666667
"Kleinia articulata","BJ, FJ, GD, GX, HB, JS, JX, YN, ZJ",9,51856.5,150.7029,344.09755883927915
"Kleinia canaliculata","TW",1,2339,3.6,649.7222222222222
"Kleinia deflersii","BJ",1,2106.5,1.7,1239.1176470588236
"Kleinia ficoides","BJ, GD, JX, SH",4,20776.5,37.3369,556.4602310314997
"Kleinia fulgens","FJ, JX",2,8469,29,292.0344827586207
"Kleinia grantii","BJ, FJ, GD, JX, SH",5,24749,49.3369,501.6326522339263
"Kleinia herreiana","BJ, FJ, GD, GX, TW, ZJ",6,31025.5,69.3029,447.6796786281671
"Kleinia longiflora","ZJ",1,6019,10,601.9
"Kleinia madagascariensis","BJ",1,2106.5,1.7,1239.1176470588236
"Kleinia neriifolia","BJ, FJ, TW",3,8418,17.3,486.5895953757225
"Kleinia obesa","BJ, FJ",2,6079,13.7,443.7226277372263
"Kleinia pendula","BJ, FJ, GD, GX, HB, JS, JX, SH, YN, ZJ",10,54278.5,151.33690000000001,358.66004920148356
"Kleinia petraea","BJ, FJ, GD, SH",4,20252.5,32.3369,626.2968930231408
"Kleinia picticaulis","BJ",1,2106.5,1.7,1239.1176470588236
"Kleinia repens","BJ, FJ, GD, SH, TW, YN",6,27262.5,74.9369,363.8060821838107
"Kleinia rowleyana","BJ, FJ, GD, HB, JS, JX, TW, YN",8,43339.5,120.3029,360.2531609794943
"Kleinia saginata","BJ, FJ, HB, SH",4,14253.5,33.334,427.59644807103854
"Kleinia schweinfurthii","BJ, FJ, GD",3,17830.5,31.7029,562.4248885748623
"Kleinia semperviva","BJ",1,2106.5,1.7,1239.1176470588236
"Kleinia stapeliiformis","BJ, FJ, GD, JX, ZJ",5,28346,58.7029,482.87222607401
"Kleinia talinoides","BJ",1,2106.5,1.7,1239.1176470588236
"Knautia macedonica","BJ, SH",2,4528.5,2.334,1940.2313624678663
"Knema cinerea","YN",1,4671,39,119.76923076923077
"Knightia excelsa","TW",1,2339,3.6,649.7222222222222
"Kniphofia citrina","BJ",1,2106.5,1.7,1239.1176470588236
"Kniphofia ensifolia","BJ, JS",2,10356.5,11.7,885.1709401709402
"Kniphofia foliosa","BJ",1,2106.5,1.7,1239.1176470588236
"Kniphofia laxiflora","BJ",1,2106.5,1.7,1239.1176470588236
"Kniphofia pumila","YN",1,4671,39,119.76923076923077
"Kniphofia sarmentosa","BJ",1,2106.5,1.7,1239.1176470588236
"Kniphofia thomsonii","SH",1,2422,0.634,3820.1892744479496
"Kniphofia triangularis","FJ, TW, ZJ",3,12330.5,25.6,481.66015625
"Kniphofia uvaria","AH, BJ, GD, HL, JS, JX, SC, SH, TW, YN, ZJ",11,59788,208.9369,286.1533793216995
"Kniphofia × hybrida","FJ, GD",2,15724,30.0029,524.0826720083725
"Koeleria glauca","BJ",1,2106.5,1.7,1239.1176470588236
"Koellensteinia graminea","TW",1,2339,3.6,649.7222222222222
"Kohleria amabilis","YN",1,4671,39,119.76923076923077
"Kohleria amabilis var. bogotensis","GD, JX",2,16248,35.0029,464.1901099623175
"Kohleria hondensis","TW",1,2339,3.6,649.7222222222222
"Koompassia excelsa","GD",1,11751.5,18.0029,652.7559448755478
"Kopsia fruticosa","FJ, GD, GX, YN",4,25232,93.0029,271.30336795949376
"Korthalsia laciniosa","TW",1,2339,3.6,649.7222222222222
"Kosteletzkya virginica","HE, JS, SD, SH",4,27935,45.634,612.1532190910286
"Krascheninnikovia ceratoides subsp. lanata","GS",1,2526.5,43,58.75581395348837
"Kunzea affinis","TW",1,2339,3.6,649.7222222222222
"Kunzea ambigua","ZJ",1,6019,10,601.9
"Kunzea graniticola","GD",1,11751.5,18.0029,652.7559448755478
"Lablab purpureus","AH, BJ, FJ, GD, GS, GX, GZ, HA, HB, HE, HL, HN, JL, JS, JX, LN, NM, NX, SC, SD, SH, SN, SX, TW, YN, ZJ",26,131533.5,593.5369,221.60964213008495
"Laburnum alpinum","BJ, FJ, HB, HE, JS, TW",6,29768.5,65.3,455.8728943338438
"Laburnum anagyroides","BJ, JS, SH, SN, TW",5,18977.5,36.934,513.8219526723344
"Laburnum × watereri","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Laccospadix australasica","FJ, GD, JX",3,20220.5,47.0029,430.19686019373273
"Laccospadix australasicus","GD",1,11751.5,18.0029,652.7559448755478
"Lachenalia aloides","BJ, TW",2,4445.5,5.3,838.7735849056604
"Lachenalia contaminata","BJ, TW",2,4445.5,5.3,838.7735849056604
"Lachenalia pustulata","TW",1,2339,3.6,649.7222222222222
"Lachenalia trichophylla","TW",1,2339,3.6,649.7222222222222
"Lachenalia viridiflora","TW",1,2339,3.6,649.7222222222222
"Lactuca marschallii","JS",1,8250,10,825
"Lactuca sativa","AH, BJ, CQ, FJ, GD, GS, GX, GZ, HA, HB, HE, HI, HL, HN, JL, JS, JX, LN, NM, NX, QH, SC, SD, SH, SN, SX, TJ, TW, XJ, YN, ZJ",31,139913,844.3369,165.7075510971983
"Laelia albida","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia anceps","FJ, SH, TW",3,8733.5,16.234,537.9758531477146
"Laelia autumnalis","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia colombiana","BJ",1,2106.5,1.7,1239.1176470588236
"Laelia crawshayana","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia gouldiana","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia lueddemanii","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia lyonsii","BJ",1,2106.5,1.7,1239.1176470588236
"Laelia marginata","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia moyobambae","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia rubescens","BJ, SH, TW",3,6867.5,5.934,1157.313784967981
"Laelia speciosa","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia superbiens","BJ, TW",2,4445.5,5.3,838.7735849056604
"Laelia undulata","BJ, GD",2,13858,19.7029,703.3482380766284
"Laelia weberbaueriana","BJ",1,2106.5,1.7,1239.1176470588236
"Lagenaria siceraria","AH, BJ, CQ, FJ, GD, GS, GX, GZ, HA, HB, HE, HI, HL, HN, JS, JX, LN, NX, QH, SC, SD, SH, SN, SX, TW, XJ, YN, ZJ",28,133550.5,706.1369,189.12834041104495
"Lagerstroemia calycina","YN",1,4671,39,119.76923076923077
"Lagerstroemia calyculata","FJ, YN",2,8643.5,51,169.48039215686273
"Lagerstroemia cochinchinensis","YN",1,4671,39,119.76923076923077
"Lagerstroemia fauriei","JS, JX",2,12746.5,27,472.0925925925926
"Lagerstroemia loudonii","FJ, GD",2,15724,30.0029,524.0826720083725
"Lagerstroemia parviflora","YN",1,4671,39,119.76923076923077
"Lagerstroemia siamica","GD, TW, YN",3,18761.5,60.6029,309.58089464365565
"Lagerstroemia speciosa","BJ, FJ, GD, GX, HI, JS, JX, TW, YN, ZJ",10,49394,138.7029,356.1136789497552
"Lagunaria patersonia","FJ, JS",2,12222.5,22,555.5681818181819
"Laguncularia racemosa","FJ, HI",2,4923.5,15.4,319.7077922077922
"Lamium galeobdolon","BJ, ZJ",2,8125.5,11.7,694.4871794871796
"Lamium orientale","BJ, FJ, SD, SH, TW, YN",6,25426,72.934,348.61655743548965
"Lamium purpureum","BJ",1,2106.5,1.7,1239.1176470588236
"Lampranthus aureus","BJ",1,2106.5,1.7,1239.1176470588236
"Lampranthus comptonii","BJ",1,2106.5,1.7,1239.1176470588236
"Lampranthus conspicuus","JS, YN",2,12921,49,263.6938775510204
"Lampranthus deltoides","BJ, FJ, JS, SH",4,16751,24.334,688.3784005917646
"Lampranthus hoerleinianus","BJ",1,2106.5,1.7,1239.1176470588236
"Lampranthus multiradiatus","BJ",1,2106.5,1.7,1239.1176470588236
"Lampranthus spectabilis","BJ, FJ, JS, JX, TW, XJ, YN, ZJ",8,34262,259.3,132.13266486694948
"Lampranthus tenuifolius","FJ, GD, JX, SN, TW, ZJ",6,32438.5,81.6029,397.5165098299202
"Lampranthus zeyheri","FJ",1,3972.5,12,331.0416666666667
"Landolphia kirkii","BJ",1,2106.5,1.7,1239.1176470588236
"Lansium parasiticum","FJ, TW, YN",3,10982.5,54.6,201.14468864468864
"Lantana camara","BJ, CQ, FJ, GD, GX, GZ, HB, HI, JS, JX, SC, SH, SN, TW, YN, ZJ",16,76416.5,254.5369,300.2177680328471
"Lantana fucata","GD",1,11751.5,18.0029,652.7559448755478
"Lantana montevidensis","FJ, GD, HI, JS, JX, TW, YN, ZJ",8,42450.5,113.0029,375.658500799537
"Lantana trifolia","YN",1,4671,39,119.76923076923077
"Lapageria rosea","TW",1,2339,3.6,649.7222222222222
"Lapeirousia oreogena","TW",1,2339,3.6,649.7222222222222
"Lapeirousia silenoides","TW",1,2339,3.6,649.7222222222222
"Lapidaria margaretae","BJ, FJ, GD, JX, SH, TW",6,27088,52.9369,511.7035564983971
"Lapiedra martinezii","TW",1,2339,3.6,649.7222222222222
