"Standardized_names","provinces","n.provinces","population.total","area.total","density"
"Acer shirasawanum","BJ, LN, SH, TW, ZJ",5,17203.5,30.934,556.1356436283701
"Acer sieboldianum","BJ",1,2106.5,1.7,1239.1176470588236
"Acer spicatum","BJ, GD, TW",3,16197,23.3029,695.0637045174634
"Acer turcomanicum","JS",1,8250,10,825
"Acer velutinum","JX, TW",2,6835.5,20.6,331.82038834951453
"Acer × freemanii","BJ, LN, SH",3,8845.5,17.334,510.2976808584285
"Achetaria azurea","FJ, TW",2,6311.5,15.6,404.5833333333333
"Achillea ageratifolia","TW",1,2339,3.6,649.7222222222222
"Achillea ageratum","BJ",1,2106.5,1.7,1239.1176470588236
"Achillea coarctata","BJ",1,2106.5,1.7,1239.1176470588236
"Achillea crithmifolia","JS",1,8250,10,825
"Achillea decolorans","JS",1,8250,10,825
"Achillea distans","JS",1,8250,10,825
"Achillea erba-rotta","BJ",1,2106.5,1.7,1239.1176470588236
"Achillea filipendulina","BJ, FJ, JS, LN, TW, YN",6,25656,81.3,315.5719557195572
"Achillea ligustica","SH",1,2422,0.634,3820.1892744479496
"Achillea micrantha","JS",1,8250,10,825
"Achillea millefolium","BJ, FJ, GD, GS, HB, HL, JS, JX, LN, SC, SD, SH, SN, TW, YN, ZJ",16,84093,320.9369,262.0234694109652
"Achillea millefolium subsp. sudetica","BJ",1,2106.5,1.7,1239.1176470588236
"Achillea multifida","JS",1,8250,10,825
"Achillea nobilis subsp. neilreichii","JS",1,8250,10,825
"Achillea odorata","BJ, JS",2,10356.5,11.7,885.1709401709402
"Achillea ptarmica","BJ, JS, YN",3,15027.5,50.7,296.40039447731755
"Achillea ptarmicifolia","BJ",1,2106.5,1.7,1239.1176470588236
"Achillea tomentosa","BJ, JX, TW",3,8942,22.3,400.9865470852018
"Achimenes erecta","FJ",1,3972.5,12,331.0416666666667
"Achimenes mexicana","FJ",1,3972.5,12,331.0416666666667
"Acianthera adamantinensis","TW",1,2339,3.6,649.7222222222222
"Acianthera alligatorifera","TW",1,2339,3.6,649.7222222222222
"Acianthera auriculata","TW",1,2339,3.6,649.7222222222222
"Acianthera aveniformis","TW",1,2339,3.6,649.7222222222222
"Acianthera binotii","TW",1,2339,3.6,649.7222222222222
"Acianthera bragae","TW",1,2339,3.6,649.7222222222222
"Acianthera caldensis","TW",1,2339,3.6,649.7222222222222
"Acianthera circumplexa","BJ, TW",2,4445.5,5.3,838.7735849056604
"Acianthera decurrens","TW",1,2339,3.6,649.7222222222222
"Acianthera exarticulata","TW",1,2339,3.6,649.7222222222222
"Acianthera fenestrata","YN",1,4671,39,119.76923076923077
"Acianthera glumacea","TW",1,2339,3.6,649.7222222222222
"Acianthera heliconioides","YN",1,4671,39,119.76923076923077
"Acianthera hoffmannseggiana","TW",1,2339,3.6,649.7222222222222
"Acianthera hygrophila","TW",1,2339,3.6,649.7222222222222
"Acianthera hystrix","TW",1,2339,3.6,649.7222222222222
"Acianthera leptotifolia","BJ, TW",2,4445.5,5.3,838.7735849056604
"Acianthera luteola","TW",1,2339,3.6,649.7222222222222
"Acianthera ochreata","TW",1,2339,3.6,649.7222222222222
"Acianthera pardipes","TW",1,2339,3.6,649.7222222222222
"Acianthera pectinata","TW",1,2339,3.6,649.7222222222222
"Acianthera prolifera","BJ",1,2106.5,1.7,1239.1176470588236
"Acianthera pubescens","SH, TW",2,4761,4.234,1124.4685876239962
"Acianthera recurva","TW",1,2339,3.6,649.7222222222222
"Acianthera saurocephala","TW",1,2339,3.6,649.7222222222222
"Acianthera sicaria","TW",1,2339,3.6,649.7222222222222
"Acianthera sonderiana","TW",1,2339,3.6,649.7222222222222
"Acianthera strupifolia","TW",1,2339,3.6,649.7222222222222
